track_id,title,artist,actor,energy,danceability,valence,image_url
27,Porkanda Singam,Anirudh,Kamal Haasan,0.59,0.53,0.54,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/e0/8a/46/e08a4646-feed-5ca6-4c32-ccc3d023fab2/196589272577.jpg/400x400bb.jpg
28,Vikram Title Track,Anirudh,Kamal Haasan,0.84,0.64,0.14,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/41/41/01/41410135-baa0-1aab-7417-f6746b0f3c25/196589186973.jpg/400x400bb.jpg
29,Devara Fear Song,Anirudh,JR NTR,0.9,0.64,0.44,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/1d/c6/af/1dc6af82-69e9-5341-5010-a9223fc25709/8903431001368_cover.jpg/400x400bb.jpg
30,Chuttamalle,Shilpa Rao,JR NTR,0.62,0.68,0.62,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/5c/66/da/5c66da69-09a9-1a44-b19e-36ac9bf3ddc5/8903431001320_cover.jpg/400x400bb.jpg
31,Oorum Blood,Sai Abhyankkar,Pradeep,0.63,0.7,0.52,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/b4/62/92/b462925b-979e-4cd1-f162-4d62090d6588/cover.jpg/400x400bb.jpg
32,Kannukulla,Sai Abhyankkar,Pradeep,0.53,0.51,0.39,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/76/57/c3/7657c308-e37a-1925-8be2-186a479f90e9/cover.jpg/400x400bb.jpg
33,Verappa,Sai Abhyankkar,Suriya,0.95,0.71,0.33,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/bb/88/06/bb880626-2526-d88a-5d8c-bc26c1f2504b/cover.jpg/400x400bb.jpg
34,Karuppu Kooda Va,Sai Abhyankkar,Suriya,0.74,0.46,0.57,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/91/54/09/915409a3-12e4-22e2-4849-361a817371ae/cover.jpg/400x400bb.jpg
35,Raathu Raasan,Sai Abhyankkar,Suriya,0.8,0.6,0.66,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/3c/56/65/3c5665dc-ec94-b55e-a4ee-52f42b61001a/cover.jpg/400x400bb.jpg
36,God Mode (Karuppu),Sai Abhyankkar,Suriya,0.88,0.58,0.4,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/ca/af/6b/caaf6be8-425c-acf5-b3e0-c4f097e2432d/cover.jpg/400x400bb.jpg
