track_id,title,artist,actor,energy,danceability,valence,image_url
115,Humsafar,Sachet-Parampara,,0.77,0.37,0.53,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/7c/6e/e7/7c6ee7c8-c1f3-e40f-1ec7-7ff96d0776f8/8902894358804_cover.jpg/400x400bb.jpg
116,Dil Ko Karaar Aaya,Rajat Nagpal,Sidharth Shukla,0.45,0.55,0.39,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/0f/ba/7a/0fba7afe-3209-bf16-8e58-7385f9edd4b7/3616407675290_Cover.jpg/400x400bb.jpg
117,Raataan Lambiyan,Tanishk Bagchi,Sidharth Malhotra,0.63,0.72,0.51,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/61/65/ae/6165aee9-8bb9-0bd4-02b0-5d0f1e6257a3/886449510238.jpg/400x400bb.jpg
118,Vaaste,Dhvani Bhanushali,,0.48,0.44,0.32,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/33/03/f2/3303f270-fce2-293a-5bfc-4b9de994abf9/197188946401.jpg/400x400bb.jpg
119,Teri Aankhon Mein,Darshan Raval,,0.55,0.29,0.14,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/9a/5b/8d/9a5b8d53-2ab6-e5e4-14dc-010bddc34d8e/8903431789099_cover.jpg/400x400bb.jpg
120,Hawayein,Pritam,Shah Rukh Khan,0.6,0.61,0.45,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/41/aa/e3/41aae321-0a81-2762-e0eb-c60844109fe7/886446683584.jpg/400x400bb.jpg
121,Lut Gaye,Jubin Nautiyal,Emraan Hashmi,0.78,0.64,0.52,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/ce/43/71/ce437176-4d13-f380-e991-2492a2e63dc8/8903431805706_cover.jpg/400x400bb.jpg
122,Ye Tune Kya Kiya,Pritam,Akshay Kumar,0.8,0.58,0.73,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/44/b8/f6/44b8f6f0-8d71-eef7-3176-691f761dacc8/8902894353991_cover.jpg/400x400bb.jpg
123,Sahiba,Aditya Rikhari,,0.43,0.68,0.43,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/7f/1b/74/7f1b7432-f87c-2737-8c34-562806709d43/8903431975140_cover.jpg/400x400bb.jpg
124,Khat,Navjot Ahuja,,0.41,0.59,0.12,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/ea/01/29/ea012994-51e8-6883-e1e1-c71fdd51754f/5026854264479.jpg/360x360bb.webp
125,Aravindh,Anirudh,Anirudh,0.7,0.82,0.53,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/de/a9/82/dea98265-2b66-f6b1-ca46-dc679fd1c681/26UMGIM77194.rgb.jpg/400x400bb.jpg
