track_id,title,artist,actor,energy,danceability,valence
85,Pehle Bhi Main,Vishal Mishra,Ranbir Kapoor,0.41,0.41,0.28
86,Satranga,Arijit Singh,Ranbir Kapoor,0.40,0.27,0.53
87,Arjan Vailly,Bhupinder Babbal,Ranbir Kapoor,0.82,0.53,0.88
88,Aaj Ki Raat,M Bagchi,Tamannah,0.87,0.72,0.65
89,Ekla Cholo Re,Rabindranath Tagore,,0.35,0.48,0.45
90,Aami Chini Go Chini Tomare,Rabindranath Tagore,,0.32,0.45,0.52
91,Pagla Hawar Badol Dine,Rabindranath Tagore,,0.42,0.55,0.58
92,Mayabono Biharini Horini,Rabindranath Tagore,,0.38,0.5,0.6
93,Purano Sei Diner Kotha,Rabindranath Tagore,,0.28,0.38,0.4
94,Bhenge Mor Ghorer Chabi,Rabindranath Tagore,,0.3,0.42,0.48
95,Coffee House Er Sei Addata,Manna Dey,,0.42,0.52,0.45
96,Hoyto Tomari Jonno,Manna Dey,Soumitra,0.48,0.58,0.62
97,Ei Poth Jodi Na Shes Hoy,Hemanta Mukherjee|Sandhya Mukherjee,Uttam Kumar,0.65,0.6,0.78
98,Ki Ashai Bandhilo Khelaghar,Kishore Kumar,Uttam Kumar,0.38,0.45,0.32
99,Aami Je Jalsaghare,Manna Dey,Uttam Kumar,0.62,0.54,0.58
100,Asha Chhilo Bhalobasha Chhilo,Kishore Kumar,Uttam Kumar,0.45,0.5,0.38
101,Phire Eso Anuradha,Kishore Kumar,,0.52,0.56,0.48
102,Sei Raat Mon Chhilo,Kishore Kumar,,0.4,0.48,0.35
103,Chokh Mooche Phei,Kishore Kumar,,0.55,0.58,0.65
104,Tumi Koto Je Dure,Asha Bhosle,,0.35,0.42,0.3
105,O Amar Mon Jomuna,Manna Dey,,0.6,0.64,0.72
106,Jibon Khatar Pothe Pothe,Manna Dey,,0.32,0.4,0.28
107,Eki Sathe Chola,Kishore Kumar,,0.48,0.52,0.55
108,Sedin Dudhe Altao,Kishore Kumar,,0.58,0.62,0.68
